Route,Number,Street,Zip,Date,BinStatus
RE13W02,14713,Pinto Ln,20850,3/14/2018,N
RE13W02,14708,Pinto Ln,20850,3/14/2018,N
RE13W02,14704,Pinto Ln,20850,3/14/2018,N
RE13W02,14700,Pinto Ln,20850,3/14/2018,N
RE13W02,14721,Pommel Dr,20850,3/14/2018,N
RE13W02,14738,Pommel Dr,20850,3/14/2018,N
RE13W02,14734,Pommel Dr,20850,3/14/2018,N
RE13W02,14730,Pommel Dr,20850,3/14/2018,N
RE13W02,10218,Yearling Drive,20850,3/14/2018,N
RE13W02,10323,Yearling Drive,20850,3/14/2018,N
RE13W02,10320,Yearling Drive,20850,3/14/2018,N
RE13W02,10316,Yearling Drive,20850,3/14/2018,N
RE13W02,10260,Nolan Drive,20850,3/14/2018,N
RE13W02,10246,Nolan Drive,20850,3/14/2018,N
RE13W02,14301,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14303,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14305,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14307,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14309,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14311,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14313,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14404,Sylvan Glade Drive,20850,3/14/2018,N
RE13W02,14402,Sylvan Glade Drive,20850,3/14/2018,N
RE13W02,14400,Sylvan Glade Drive,20850,3/14/2018,N
RE13W02,14403,Sylvan Glade Drive,20850,3/14/2018,N
RE13W02,14409,Sylvan Glade Drive,20850,3/14/2018,N
RE13W02,14413,Sylvan Glade Drive,20850,3/14/2018,N
RE13W02,14427,Sylvan Glade Drive,20850,3/14/2018,N
RE13W02,14441,Sylvan Glade Drive,20850,3/14/2018,N
RE13W02,14432,Sylvan Glade Drive,20850,3/14/2018,N
RE13W02,10405,Quietwood Drive,20850,3/14/2018,N
RE13W02,10405,Quietwood Ter,20850,3/14/2018,N
RE13W02,10409,Quietwood Ter,20850,3/14/2018,N
RE13W02,14409,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14413,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14417,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14505,Snapdragon Circle,20850,3/14/2018,N
RE13W02,10401,Snapdragon Pl,20850,3/14/2018,N
RE13W02,10402,Snapdragon Pl,20850,3/14/2018,N
RE13W02,14517,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14601,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14609,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14608,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14604,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14600,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14552,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14540,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14536,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14528,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14512,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14508,Pebblewood Drive,20850,3/14/2018,N
RE13W02,10705,Pebblewood Place,20850,3/14/2018,N
RE13W02,10713,Pebblewood Place,20850,3/14/2018,N
RE13W02,14523,Pebblewood Drive,20850,3/14/2018,N
RE13W02,14508,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14504,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14500,Stonebridge View Drive,20850,3/14/2018,N
RE13W02,14336,Platinum Drive,20850,3/14/2018,N
RE13W02,14300,Platinum Drive,20850,3/14/2018,N
RE13W02,14240,Platinum Drive,20850,3/14/2018,N
