"","Route","Number","Street","Zip","Date","BinStatus","Assigned"
"66","RE13H02",13624,"Pine View Lane",20850,"3/8/2018","N",TRUE
"67","RE13H02",13622,"Pine View Lane",20850,"3/8/2018","N",TRUE
"68","RE13H02",11405,"Spice Oak Terrace",20850,"3/8/2018","N",TRUE
"69","RE13H02",11400,"Spice Oak Terrace",20850,"3/8/2018","N",TRUE
"70","RE13H02",13606,"Pine View Lane",20850,"3/8/2018","N",TRUE
"71","RE13H02",13603,"Pine View Lane",20850,"3/8/2018","N",TRUE
"72","RE13H02",13605,"Pine View Lane",20850,"3/8/2018","N",TRUE
"73","RE13H02",13621,"Pine View Lane",20850,"3/8/2018","N",TRUE
"74","RE13W02",10211,"Nolan Drive",20850,"3/14/2018","N",FALSE
"75","RE13W02",10225,"Nolan Drive",20850,"3/14/2018","N",FALSE
"76","RE13W02",10239,"Nolan Drive",20850,"3/14/2018","N",FALSE
"77","RE13W02",10245,"Nolan Drive",20850,"3/14/2018","N",FALSE
"78","RE13W02",10253,"Nolan Drive",20850,"3/14/2018","N",FALSE
"79","RE13W02",10267,"Nolan Drive",20850,"3/14/2018","N",FALSE
"80","RE13W02",10309,"Nolan Drive",20850,"3/14/2018","N",FALSE
"81","RE13W02",22,"Yearling Court",20850,"3/14/2018","N",FALSE
"82","RE13W02",10,"Yearling Court",20850,"3/14/2018","N",FALSE
"83","RE13W02",5,"Yearling Court",20850,"3/14/2018","N",FALSE
"84","RE13W02",9,"Yearling Court",20850,"3/14/2018","N",FALSE
"85","RE13W02",21,"Yearling Court",20850,"3/14/2018","N",FALSE
"86","RE13W02",14628,"Pommel Dr",20850,"3/14/2018","N",FALSE
"87","RE13W02",14620,"Pommel Dr",20850,"3/14/2018","N",FALSE
"88","RE13W02",14604,"Pommel Dr",20850,"3/14/2018","N",FALSE
"89","RE13W02",14600,"Pommel Dr",20850,"3/14/2018","N",FALSE
"90","RE13W02",14601,"Pommel Dr",20850,"3/14/2018","N",FALSE
"91","RE13W02",14603,"Pommel Dr",20850,"3/14/2018","N",FALSE
"92","RE13W02",14609,"Pommel Dr",20850,"3/14/2018","N",FALSE
"93","RE13W02",14619,"Pommel Dr",20850,"3/14/2018","N",FALSE
"94","RE13W02",14627,"Pommel Dr",20850,"3/14/2018","N",FALSE
"95","RE13W02",10213,"Yearling Drive",20850,"3/14/2018","N",TRUE
"96","RE13W02",14612,"Pinto Ln",20850,"3/14/2018","N",FALSE
"97","RE13W02",14604,"Pinto Ln",20850,"3/14/2018","N",FALSE
"98","RE13W02",10104,"Chariot Court",20850,"3/14/2018","N",FALSE
"99","RE13W02",14643,"Pinto Ln",20850,"3/14/2018","N",FALSE
"100","RE13W02",14701,"Pinto Ln",20850,"3/14/2018","N",FALSE
"101","RE13W02",14705,"Pinto Ln",20850,"3/14/2018","N",FALSE
"102","RE13W02",14709,"Pinto Ln",20850,"3/14/2018","N",FALSE
"103","RE13W02",14713,"Pinto Ln",20850,"3/14/2018","N",FALSE
"104","RE13W02",14708,"Pinto Ln",20850,"3/14/2018","N",FALSE
"105","RE13W02",14704,"Pinto Ln",20850,"3/14/2018","N",FALSE
"106","RE13W02",14700,"Pinto Ln",20850,"3/14/2018","N",FALSE
"107","RE13W02",14721,"Pommel Dr",20850,"3/14/2018","N",FALSE
"108","RE13W02",14738,"Pommel Dr",20850,"3/14/2018","N",FALSE
"109","RE13W02",14734,"Pommel Dr",20850,"3/14/2018","N",FALSE
"110","RE13W02",14730,"Pommel Dr",20850,"3/14/2018","N",FALSE
"111","RE13W02",10218,"Yearling Drive",20850,"3/14/2018","N",TRUE
"112","RE13W02",10323,"Yearling Drive",20850,"3/14/2018","N",TRUE
"113","RE13W02",10320,"Yearling Drive",20850,"3/14/2018","N",TRUE
"114","RE13W02",10316,"Yearling Drive",20850,"3/14/2018","N",TRUE
"115","RE13W02",10260,"Nolan Drive",20850,"3/14/2018","N",FALSE
"116","RE13W02",10246,"Nolan Drive",20850,"3/14/2018","N",FALSE
"117","RE13W02",14301,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"118","RE13W02",14303,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"119","RE13W02",14305,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"120","RE13W02",14307,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"121","RE13W02",14309,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"122","RE13W02",14311,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"123","RE13W02",14313,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"124","RE13W02",14404,"Sylvan Glade Drive",20850,"3/14/2018","N",TRUE
"125","RE13W02",14402,"Sylvan Glade Drive",20850,"3/14/2018","N",TRUE
"126","RE13W02",14400,"Sylvan Glade Drive",20850,"3/14/2018","N",TRUE
"127","RE13W02",14403,"Sylvan Glade Drive",20850,"3/14/2018","N",TRUE
"128","RE13W02",14409,"Sylvan Glade Drive",20850,"3/14/2018","N",TRUE
"129","RE13W02",14413,"Sylvan Glade Drive",20850,"3/14/2018","N",TRUE
"130","RE13W02",14427,"Sylvan Glade Drive",20850,"3/14/2018","N",TRUE
"131","RE13W02",14441,"Sylvan Glade Drive",20850,"3/14/2018","N",TRUE
"132","RE13W02",14432,"Sylvan Glade Drive",20850,"3/14/2018","N",TRUE
"133","RE13W02",10405,"Quietwood Drive",20850,"3/14/2018","N",TRUE
"134","RE13W02",10405,"Quietwood Ter",20850,"3/14/2018","N",TRUE
"135","RE13W02",10409,"Quietwood Ter",20850,"3/14/2018","N",TRUE
"136","RE13W02",14409,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"137","RE13W02",14413,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"138","RE13W02",14417,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"139","RE13W02",14505,"Snapdragon Circle",20850,"3/14/2018","N",TRUE
"140","RE13W02",10401,"Snapdragon Pl",20850,"3/14/2018","N",TRUE
"141","RE13W02",10402,"Snapdragon Pl",20850,"3/14/2018","N",TRUE
"142","RE13W02",14517,"Stonebridge View Drive",20850,"3/14/2018","N",TRUE
"143","RE13W02",14601,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"144","RE13W02",14609,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"145","RE13W02",14608,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"146","RE13W02",14604,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"147","RE13W02",14600,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"148","RE13W02",14552,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"149","RE13W02",14540,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"150","RE13W02",14536,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"151","RE13W02",14528,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"152","RE13W02",14512,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"153","RE13W02",14508,"Pebblewood Drive",20850,"3/14/2018","N",TRUE
"154","RE13W02",10705,"Pebblewood Place",20850,"3/14/2018","N",TRUE
"155","RE13W02",10713,"Pebblewood Place",20850,"3/14/2018","N",TRUE
